net,length_um
core.x4_reg\[3\],626.26
core.x14_reg\[16\],625.83
_04677_,623.98
core.iv\[58\],622.8
core.key0_reg\[10\],622.44
core.x14_reg\[19\],622.14
clknet_6_31_0_clk,621.94
core.x7_reg\[11\],621.245
clknet_6_45_0_clk,620.355
core.x14_reg\[13\],620.09
clknet_3_6_0_clk,619.13
data_out3_reg\[1\],619.06
_11812_,618.62
clknet_6_26_0_clk,618.57
core.key2_reg\[24\],618.5
_19686_,618
_08524_,617.68
_08725_,617.28
core.key2_reg\[15\],616.82
_05923_,616.62
clknet_3_7_0_clk,616.26
data_out13_reg\[12\],614.52
_09406_,614.09
net61,613.5
_06934_,613.4
_12243_,613.24
clknet_6_15_0_clk,612.65
data_out12_reg\[3\],612.6
_08474_,611.93
_14024_,611.74
_08459_,611.12
data_out13_reg\[11\],609.44
_09899_,609.34
core.x7_reg\[20\],609.1
_09500_,607.02
_06108_,606.78
_09561_,606.4
_10258_,606.38
_08593_,606.035
net48,605.98
_19315_,605.94
net49,605.66
_08886_,603.5
data_out12_reg\[4\],603.43
_06122_,602.82
_09905_,602.39
core.key2_reg\[16\],601.99
core.x13_reg\[24\],601.82
_09530_,601.5
_09667_,601.02
core.key0_reg\[7\],600.72
_18091_,600.44
core.x7_reg\[4\],600.19
data_out13_reg\[13\],599.94
_08538_,599.62
clknet_0_clk,599.45
core.key0_reg\[31\],599.25
_06957_,599.18
data_out13_reg\[16\],599.18
core.x7_reg\[6\],598.145
_09429_,597.54
_05910_,597.42
_07226_,597.2
_05892_,597.02
core.x15_reg\[7\],596.88
_05843_,596.56
core.key0_reg\[4\],596.55
data_out13_reg\[27\],595.17
_08382_,594.81
_07367_,594.13
core.x15_reg\[12\],594.06
_09344_,593.92
net491,593.72
data_out13_reg\[26\],593.675
data_out13_reg\[21\],593.06
net4421,592.99
data_out12_reg\[0\],592.82
core.x13_reg\[13\],592.34
data_out13_reg\[17\],592.28
data_out13_reg\[14\],591.66
_17336_,590.18
core.key2_reg\[6\],589.38
net82,589.33
core.qr0.y0\[20\],589.1
data_out12_reg\[2\],589.07
_09584_,588.96
_18902_,588.73
data_out13_reg\[20\],588.555
_09528_,587.87
core.key2_reg\[25\],587.79
clknet_6_47_0_clk,587.34
net96,587.205
data_out13_reg\[19\],586.85
core.x15_reg\[20\],586.44
_18847_,585.81
_16788_,585.28
data_out13_reg\[6\],584.765
data_out13_reg\[15\],584.575
core.x7_reg\[3\],584.55
core.x15_reg\[21\],584.25
_09853_,584.24
clknet_6_1_0_clk,584.06
core.key0_reg\[8\],583.875
_09327_,582.47
data_out13_reg\[28\],582.07
core.x7_reg\[18\],582.025
_04375_,581.675
_11819_,581.5
_08540_,581.28
_08461_,580.99
_14327_,580.78
data_out12_reg\[6\],580.6
_11691_,580.17
_06947_,579.87
net4440,579.72
_07074_,579.64
_06198_,579.54
core.key1_reg\[25\],579.49
core.x14_reg\[12\],579.45
data_out3_reg\[0\],579.07
clknet_6_2_0_clk,578.99
_11667_,578.85
data_out13_reg\[25\],578.69
net108,578.17
core.x7_reg\[19\],577.24
_09989_,577.18
_03759_,576.92
data_out3_reg\[3\],576.76
core.x15_reg\[6\],576.695
core.x14_reg\[7\],576.415
_09657_,576.22
data_out13_reg\[24\],576.18
data_out13_reg\[22\],576
_06022_,575.81
core.x4_reg\[5\],575.68
core.data_in_reg\[202\],575.08
clknet_6_58_0_clk,574.815
data_out12_reg\[5\],574.68
data_out14_reg\[21\],574.67
_08857_,574.37
data_out12_reg\[7\],574.32
_08481_,572.795
clknet_2_2_0_clk,572.75
_09514_,572.38
_18911_,571.76
net176,571.6
net103,571.56
core.key0_reg\[15\],569.37
core.key1_reg\[26\],569.115
_12730_,569.04
_08827_,568.9
_09925_,568.78
core.x15_reg\[18\],568.61
_18829_,568
data_out13_reg\[18\],567.88
net104,567.01
net81,566.74
_18192_,566.72
_05812_,566.095
_09890_,565.83
_18081_,565.82
core.key1_reg\[27\],565.75
_18893_,565.6
data_out13_reg\[7\],564.84
core.key1_reg\[7\],564.34
core.x14_reg\[20\],564.32
core.x13_reg\[10\],564.29
_03756_,563.92
core.x7_reg\[16\],563.825
net4144,562.93
_08353_,562.79
_08393_,562.62
core.x15_reg\[17\],562.49
data_out14_reg\[20\],561.88
core.iv\[53\],561.7
_05044_,561.1
net68,561.02
_19405_,560.755
_09545_,560.72
net457,560.7
net95,560.58
_05874_,559.88
_08812_,559.78
_10047_,559.755
net97,559.06
net4,558.14
data_out14_reg\[22\],557.78
_03862_,557.45
_09520_,556.68
core.x13_reg\[9\],556.475
data_out13_reg\[30\],555.27
net4119,554.92
_04988_,554.915
core.x7_reg\[5\],553.78
_07119_,553.7
clknet_2_0_0_clk,553.5
_18262_,553.39
clknet_6_34_0_clk,552.94
core.data_in_reg\[203\],552.78
net78,552.25
net99,552.17
_10446_,551.61
_09422_,551.52
_06191_,551.315
data_out3_reg\[4\],550.97
net4055,550.97
_03865_,550.87
clknet_6_61_0_clk,550.8
_09969_,550.76
_06490_,550.42
core.key2_reg\[23\],550.34
data_out13_reg\[23\],550.34
core.iv\[51\],549.92
_07890_,549.65
core.x13_reg\[29\],549.4
core.key1_reg\[28\],549.07
data_out14_reg\[18\],548.55
_06941_,548.53
_09601_,548.18
clknet_6_46_0_clk,548.14
clknet_6_7_0_clk,548.08
_06184_,547.56
data_out14_reg\[29\],547.44
net527,547.15
_09408_,547.08
net93,547.01
core.x13_reg\[25\],546.56
_07986_,546.48
_06194_,546.18
data_out1_reg\[1\],546.18
_09416_,546.07
_16714_,545.96
core.key2_reg\[0\],545.55
data_out14_reg\[19\],545.48
_10189_,545.18
clknet_6_37_0_clk,545.03
core.x15_reg\[16\],544.745
core.key0_reg\[13\],544.53
core.x15_reg\[19\],544.52
core.x7_reg\[29\],544.37
_12669_,544.11
data_out12_reg\[8\],543.83
net1708,543.37
core.key1_reg\[19\],543.18
net90,542.87
_11846_,542.48
net455,542.41
core.x15_reg\[14\],542.295
net56,542.16
_09245_,542.04
net89,541.69
data_out14_reg\[23\],541.61
net752,541.42
net2779,541.24
_05879_,541.22
core.x7_reg\[17\],541.07
net493,540.9
_09880_,540.58
core.x13_reg\[30\],540.42
net83,540.3
clknet_6_11_0_clk,540.29
net182,539.7
net94,539.11
data_out12_reg\[13\],539.03
_09610_,538.72
_06146_,538.575
_09760_,537.89
_17050_,537.68
data_out13_reg\[1\],537.565
net117,537.13
net165,536.8
core.x15_reg\[23\],536.74
_14053_,536.32
core.x14_reg\[22\],536.25
core.x13_reg\[12\],536.04
data_out3_reg\[2\],535.97
net84,535.86
net102,535.83
_10433_,535.7
_05884_,535.47
net11,535.47
core.block1_ctr_reg\[26\],535.3
core.x13_reg\[14\],534.98
core.key0_reg\[14\],534.905
_12424_,534.69
net2875,533.95
_06181_,533.88
_09395_,533.82
_07908_,533.54
data_out12_reg\[14\],533.37
net101,532.58
data_out12_reg\[10\],532.37
_09552_,532.26
_06188_,532.1
core.key2_reg\[1\],531.965
_08627_,531.56
core.x14_reg\[21\],531.56
_18085_,531.36
net191,531.07
data_out13_reg\[31\],530.73
_09439_,529.8
core.x13_reg\[6\],529.74
_09374_,529.58
_16407_,529.575
core.x13_reg\[27\],529.19
net169,528.91
_09957_,528.9
core.x12_reg\[18\],528.24
_10278_,528.22
core.data_in_reg\[201\],527.88
net555,527.475
net549,527.23
_10120_,527.04
_19183_,527.02
_18090_,526.22
_08510_,525.62
clknet_6_28_0_clk,525.345
_08420_,525.12
net129,525.09
_10180_,524.96
core.x13_reg\[28\],524.76
_18044_,524.42
_10158_,524.26
_04370_,523.34
data_out12_reg\[11\],523.17
core.x14_reg\[9\],523.02
net175,522.96
core.x12_reg\[17\],522.94
clknet_6_32_0_clk,522.65
core.x14_reg\[5\],522.405
_08097_,522
core.data_in_reg\[204\],521.54
data_out12_reg\[9\],521.32
clknet_6_40_0_clk,521.11
clknet_6_19_0_clk,521.1
clknet_6_16_0_clk,521.04
_03849_,521.035
_07435_,520.83
_09674_,520.78
_06216_,520.72
_04028_,520.64
core.x11_reg\[10\],520.575
net98,520.51
clknet_6_23_0_clk,520.305
core.key1_reg\[1\],520.13
core.x13_reg\[15\],519.815
net529,519.78
_09443_,519.74
_18046_,519.625
_09419_,519.38
net160,519.04
_08815_,518.74
_09381_,518.58
_04706_,518.4
core.key1_reg\[3\],518.16
net1159,517.5
_10187_,516.85
_12405_,516.78
clknet_6_35_0_clk,516.59
clknet_6_36_0_clk,516.22
_09617_,515.98
_10457_,515.88
_17051_,515.49
data_out1_reg\[0\],515.295
_09680_,515.18
core.x10_reg\[25\],515.035
clknet_6_33_0_clk,514.915
data_out14_reg\[31\],514.78
_09034_,514.74
_11556_,514.555
_12530_,514.43
data_out12_reg\[21\],514.01
_19197_,513.88
_14135_,513.76
_12214_,513.44
core.data_in_reg\[205\],513.26
core.key2_reg\[4\],513.22
_16902_,513.14
core.x14_reg\[24\],513.03
clknet_6_25_0_clk,512.72
_09414_,512.62
data_out14_reg\[26\],512.38
net1493,512.34
_18900_,512.28
_08876_,512.02
core.key2_reg\[26\],511.76
net539,511.715
